Designator;Component;Type;Value;Rating;Voltage;Tolerance;Package;Manufacturer;Part number
R1;Resistor;Thick film;120Ω;1/4W;200V;1%;1206;Vishay Dale;CRCW1206120RFKEA
R2;Resistor;Thick film;51Ω;1/10W;75V;1%;0603;Vishay Dale;CRCW060351R0FKEA
R3;Resistor;Thick film;150Ω;1/10W;75V;1%;0603;Vishay Dale;CRCW0603150RFKEA
R4;Resistor;Thick film;150Ω;1/10W;75V;1%;0603;Vishay Dale;CRCW0603150RFKEA
R5;Resistor;Thick film;5.6kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06035K60FKEA
R6;Resistor;Thick film;10kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW060310K0FKEA
R7;Resistor;Thick film;20kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW060320K0FKEA
R8;Resistor;Thick film;90.9kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW060390K9FKEA
R9;Resistor;Thick film;5.1kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06035K10FKEA
R10;Resistor;Thick film;5.1kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06035K10FKEA
R11;Resistor;Thick film;4.7kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06034K70FKEA
R12;Resistor;Thick film;1kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06031K00FKEA
R13;Resistor;Thick film;4.7kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06034K70FKEA
R14;Resistor;Thick film;1kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06031K00FKEA
R15;Resistor;Thick film;1kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06031K00FKEA
R16;Resistor;Thick film;1kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06031K00FKEA
R17;Resistor;Thick film;4.7kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06034K70FKEA
R18;Resistor;Thick film;1kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06031K00FKEA
R19;Resistor;Thick film;4.7kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06034K70FKEA
R20;Resistor;Thick film;27Ω;1/10W;75V;1%;0603;Vishay Dale;CRCW060327R0FKEA
R21;Resistor;Thick film;27Ω;1/10W;75V;1%;0603;Vishay Dale;CRCW060327R0FKEA
R22;Resistor;Thick film;1kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06031K00FKEA
R23;Resistor;Thick film;1kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06031K00FKEA
R24;Resistor;Thick film;4.7kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06034K70FKEA
R25;Resistor;Thick film;200Ω;1/10W;75V;1%;0603;Vishay Dale;CRCW0603200RFKEA
R26;Resistor;Thick film;4.7kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06034K70FKEA
R27;Resistor;Thick film;4.7kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06034K70FKEA
R28;Resistor;Thick film;110Ω;1/10W;75V;1%;0603;Vishay Dale;CRCW0603110RFKEA
R29;Resistor;Thick film;1kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06031K00FKEA
R30;Resistor;Thick film;4.7kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06034K70FKEA
R31;Resistor;Thick film;4.7kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06034K70FKEA
R32;Resistor;Thick film;1kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06031K00FKEA
R33;Resistor;Thick film;1kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06031K00FKEA
R34;Resistor;Thick film;4.7kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06034K70FKEA
R35;Resistor;Thick film;4.7kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06034K70FKEA
R36;Resistor;Thick film;4.7kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06034K70FKEA
R37;Resistor;Thick film;4.7kΩ;1/10W;75V;1%;0603;Vishay Dale;CRCW06034K70FKEA
R38;Resistor;Thick film;110Ω;1/10W;75V;1%;0603;Vishay Dale;CRCW0603110RFKEA
R39;Resistor;Thick film;110Ω;1/10W;75V;1%;0603;Vishay Dale;CRCW0603110RFKEA
R40;Resistor;Thick film;110Ω;1/10W;75V;1%;0603;Vishay Dale;CRCW0603110RFKEA
R41;Resistor;Thick film;110Ω;1/10W;75V;1%;0603;Vishay Dale;CRCW0603110RFKEA
R42;Resistor;Thick film;110Ω;1/10W;75V;1%;0603;Vishay Dale;CRCW0603110RFKEA
R43;Resistor;Thick film;110Ω;1/10W;75V;1%;0603;Vishay Dale;CRCW0603110RFKEA
R44;Resistor;Thick film;110Ω;1/10W;75V;1%;0603;Vishay Dale;CRCW0603110RFKEA
R45;Resistor;Thick film;110Ω;1/10W;75V;1%;0603;Vishay Dale;CRCW0603110RFKEA
R46;Resistor;Thick film;110Ω;1/10W;75V;1%;0603;Vishay Dale;CRCW0603110RFKEA
